"id","city","state","stateSlug","citySlug","country","pincode","currency","symbol","compliance","carriers","nodeType","dialingCode","timezone","latitude","longitude","landmark","carrierQuality","localSupport","population","mobileUsers","internetUsers","genderRatioText","malePercentage","femalePercentage","averageIncome","activeMobileDevices","mobilePenetration","internetPenetration","maleCount","femaleCount"
"mendoza-province-mendoza","Mendoza","Mendoza Province","mendoza-province","mendoza","Argentina","M5500","ARS","$","ENACOM Guidelines","Personal|Movistar|Claro","city_center","+54","America/Argentina/Buenos_Aires","-34.0057","-63.8866","Mendoza Industrial Growth Center","Primary edge trunk terminated over Personal networks. Failovers route over Movistar, Claro with active latency policing loops.","Remote regional support and carrier network coverage for Mendoza, Argentina","3625098","2856577","2439690","992 females per 1,000 males","50.2","49.8","$40,005 ARS per annum","4603874","78.8","67.3","1819799","1805299"
"tucuman-province-san-miguel-de-tucuman","San Miguel de Tucuman","Tucuman Province","tucuman-province","san-miguel-de-tucuman","Argentina","T4000","ARS","$","ENACOM Guidelines","Personal|Movistar|Claro","city_center","+54","America/Argentina/Buenos_Aires","-34.0674","-64.048","San Miguel de Tucuman GPO Circle Square","Primary edge trunk terminated over Personal networks. Failovers route over Movistar, Claro with active latency policing loops.","Remote regional support and carrier network coverage for San Miguel de Tucuman, Argentina","781789","647321","524580","973 females per 1,000 males","50.7","49.3","$44,535 ARS per annum","945964","82.8","67.1","396367","385422"
"valparaiso-province-valparaiso","Valparaiso","Valparaiso Province","valparaiso-province","valparaiso","Chile","2340000","CLP","$","SUBTEL Guidelines","Entel|Movistar|WOM|Claro","city_center","+56","America/Punta_Arenas","-30.1028","-71.0434","Valparaiso Industrial Growth Center","Primary edge trunk terminated over Entel networks. Failovers route over Movistar, WOM, Claro with active latency policing loops.","Remote regional support and carrier network coverage for Valparaiso, Chile","3746003","3015532","2330013","997 females per 1,000 males","50.1","49.9","$22,830 CLP per annum","4757423","80.5","62.2","1876748","1869255"
"concepcion-province-concepcion","Concepcion","Concepcion Province","concepcion-province","concepcion","Chile","4030000","CLP","$","SUBTEL Guidelines","Entel|Movistar|WOM|Claro","city_center","+56","America/Punta_Arenas","-30.0488","-71.1981","Concepcion Municipal Office Plaza","Primary edge trunk terminated over Entel networks. Failovers route over Movistar, WOM, Claro with active latency policing loops.","Remote regional support and carrier network coverage for Concepcion, Chile","3371983","2717818","2292948","992 females per 1,000 males","50.2","49.8","$19,048 CLP per annum","4484737","80.6","68","1692735","1679248"
"kwazulu-natal-durban","Durban","KwaZulu-Natal","kwazulu-natal","durban","South Africa","4001","ZAR","R","ICASA Guidelines","Vodacom|MTN|Telkom","city_center","+27","Africa/Johannesburg","-28.9138","23.8947","Durban District Secretariat Enclave","Primary edge trunk terminated over Vodacom networks. Failovers route over MTN, Telkom with active latency policing loops.","Remote regional support and carrier network coverage for Durban, South Africa","3489939","2690742","2257990","952 females per 1,000 males","51.2","48.8","R35,439 ZAR per annum","4222826","77.1","64.7","1786849","1703090"
"eastern-cape-port-elizabeth","Port Elizabeth","Eastern Cape","eastern-cape","port-elizabeth","South Africa","6001","ZAR","R","ICASA Guidelines","Vodacom|MTN|Telkom","city_center","+27","Africa/Johannesburg","-29.0935","23.9026","Port Elizabeth Municipal Office Plaza","Primary edge trunk terminated over Vodacom networks. Failovers route over MTN, Telkom with active latency policing loops.","Remote regional support and carrier network coverage for Port Elizabeth, South Africa","2797052","2201279","1899198","991 females per 1,000 males","50.2","49.8","R33,514 ZAR per annum","3803990","78.7","67.9","1404120","1392932"
"alabama-birmingham","Birmingham","Alabama","alabama","birmingham","United States","35201","USD","$","10DLC / FCC","Verizon|T-Mobile|AT&T","city_center","+1 205","America/Chicago","28.6016","-93.2655","Birmingham Civil Station Complex","Primary edge trunk terminated over Verizon networks. Failovers route over T-Mobile, AT&T with active latency policing loops.","Remote regional support and carrier network coverage for Birmingham, United States","1068819","989726","1019653","1,003 females per 1,000 males","49.9","50.1","$86,920 per annum","1303959","92.6","95.4","533341","535478"
"michigan-grand-rapids","Grand Rapids","Michigan","michigan","grand-rapids","United States","49501","USD","$","10DLC / FCC","Verizon|T-Mobile|AT&T","city_center","+1 313","America/Chicago","45.6176","-100.4324","Grand Rapids State Highway Crossing Terminal","Primary edge trunk terminated over Verizon networks. Failovers route over T-Mobile, AT&T with active latency policing loops.","Remote regional support and carrier network coverage for Grand Rapids, United States","1861976","1759567","1649710","992 females per 1,000 males","50.2","49.8","$79,603 per annum","2290230","94.5","88.6","934712","927264"
"arizona-tucson","Tucson","Arizona","arizona","tucson","United States","85701","USD","$","10DLC / FCC","Verizon|T-Mobile|AT&T","city_center","+1 602","America/Denver","40.9212","-115.6278","Tucson State Highway Crossing Terminal","Primary edge trunk terminated over Verizon networks. Failovers route over T-Mobile, AT&T with active latency policing loops.","Remote regional support and carrier network coverage for Tucson, United States","3827207","3586092","3643501","978 females per 1,000 males","50.6","49.4","$97,176 per annum","4707464","93.7","95.2","1936567","1890640"
"new-mexico-albuquerque","Albuquerque","New Mexico","new-mexico","albuquerque","United States","87101","USD","$","10DLC / FCC","Verizon|T-Mobile|AT&T","city_center","+1 202","America/Denver","43.0288","-86.0325","Albuquerque Civil Station Complex","Primary edge trunk terminated over Verizon networks. Failovers route over T-Mobile, AT&T with active latency policing loops.","Remote regional support and carrier network coverage for Albuquerque, United States","2212895","2135443","2091185","975 females per 1,000 males","50.6","49.4","$68,278 per annum","2743989","96.5","94.5","1119725","1093170"
"oklahoma-tulsa","Tulsa","Oklahoma","oklahoma","tulsa","United States","74101","USD","$","10DLC / FCC","Verizon|T-Mobile|AT&T","city_center","+1 202","America/Chicago","41.6938","-98.8427","Tulsa Green Valley Digital Exchange","Primary edge trunk terminated over Verizon networks. Failovers route over T-Mobile, AT&T with active latency policing loops.","Remote regional support and carrier network coverage for Tulsa, United States","2597098","2449063","2410106","1,005 females per 1,000 males","49.9","50.1","$86,428 per annum","3454140","94.3","92.8","1295952","1301146"
"nebraska-omaha","Omaha","Nebraska","nebraska","omaha","United States","68101","USD","$","10DLC / FCC","Verizon|T-Mobile|AT&T","city_center","+1 202","America/Chicago","39.8701","-90.3881","Omaha Municipal Office Plaza","Primary edge trunk terminated over Verizon networks. Failovers route over T-Mobile, AT&T with active latency policing loops.","Remote regional support and carrier network coverage for Omaha, United States","1178219","1091030","1038010","979 females per 1,000 males","50.5","49.5","$85,170 per annum","1625942","92.6","88.1","595001","583218"
"ontario-hamilton","Hamilton","Ontario","ontario","hamilton","Canada","L8P","CAD","C$","CRTC / CASL Guidelines","Rogers|Bell|Telus","city_center","+1 416","America/Toronto","-25.9324","55.0011","Hamilton Techno Park Terminal Hub","Primary edge trunk terminated over Rogers networks. Failovers route over Bell, Telus with active latency policing loops.","Remote regional support and carrier network coverage for Hamilton, Canada","4091987","3801455","3862835","1,007 females per 1,000 males","49.8","50.2","C$42,900 CAD per annum","5278663","92.9","94.4","2037810","2054177"
"ontario-london","London","Ontario","ontario","london","Canada","N6A","CAD","C$","CRTC / CASL Guidelines","Rogers|Bell|Telus","city_center","+1 416","America/Toronto","5.0078","-31.7242","London Old Town Fort Gate Road","Primary edge trunk terminated over Rogers networks. Failovers route over Bell, Telus with active latency policing loops.","Remote regional support and carrier network coverage for London, Canada","2589521","2524782","2405665","965 females per 1,000 males","50.9","49.1","C$37,415 CAD per annum","3107425","97.5","92.9","1318066","1271455"
"british-columbia-victoria","Victoria","British Columbia","british-columbia","victoria","Canada","V8W","CAD","C$","CRTC / CASL Guidelines","Rogers|Bell|Telus","city_center","+1 416","America/Toronto","-28.215","9.2594","Victoria State Highway Crossing Terminal","Primary edge trunk terminated over Rogers networks. Failovers route over Bell, Telus with active latency policing loops.","Remote regional support and carrier network coverage for Victoria, Canada","4546769","4214854","4246682","980 females per 1,000 males","50.5","49.5","C$44,492 CAD per annum","5865332","92.7","93.4","2296118","2250651"
"ontario-windsor","Windsor","Ontario","ontario","windsor","Canada","N9A","CAD","C$","CRTC / CASL Guidelines","Rogers|Bell|Telus","city_center","+1 416","America/Toronto","-12.3059","-26.9237","Windsor Telecom Exchange Square","Primary edge trunk terminated over Rogers networks. Failovers route over Bell, Telus with active latency policing loops.","Remote regional support and carrier network coverage for Windsor, Canada","754719","696605","721511","1,007 females per 1,000 males","49.8","50.2","C$22,833 CAD per annum","988681","92.3","95.6","375850","378869"
"south-yorkshire-sheffield","Sheffield","South Yorkshire","south-yorkshire","sheffield","United Kingdom","S1","GBP","£","Ofcom Guidelines","EE|Vodafone|O2|Three","city_center","+44 20","Europe/London","54.3714","-2.882","Sheffield Municipal Office Plaza","Primary edge trunk terminated over EE networks. Failovers route over Vodafone, O2, Three with active latency policing loops.","Remote regional support and carrier network coverage for Sheffield, United Kingdom","2422218","2303529","2245396","977 females per 1,000 males","50.6","49.4","£56,847 per annum","3076216","95.1","92.7","1225642","1196576"
"nottinghamshire-nottingham","Nottingham","Nottinghamshire","nottinghamshire","nottingham","United Kingdom","NG1","GBP","£","Ofcom Guidelines","EE|Vodafone|O2|Three","city_center","+44 20","Europe/London","53.1825","-3.9885","Nottingham Central Industrial Area Road","Primary edge trunk terminated over EE networks. Failovers route over Vodafone, O2, Three with active latency policing loops.","Remote regional support and carrier network coverage for Nottingham, United Kingdom","1553910","1515062","1387641","1,000 females per 1,000 males","50","50","£47,325 per annum","2097778","97.5","89.3","776955","776955"
"leicestershire-leicester","Leicester","Leicestershire","leicestershire","leicester","United Kingdom","LE1","GBP","£","Ofcom Guidelines","EE|Vodafone|O2|Three","city_center","+44 20","Europe/London","50.6247","-0.539","Leicester Central Industrial Area Road","Primary edge trunk terminated over EE networks. Failovers route over Vodafone, O2, Three with active latency policing loops.","Remote regional support and carrier network coverage for Leicester, United Kingdom","1344818","1288335","1223784","965 females per 1,000 males","50.9","49.1","£59,910 per annum","1869297","95.8","91","684512","660306"
"hampshire-southampton","Southampton","Hampshire","hampshire","southampton","United Kingdom","SO14","GBP","£","Ofcom Guidelines","EE|Vodafone|O2|Three","city_center","+44 20","Europe/London","52.805","-1.2326","Southampton Green Valley Digital Exchange","Primary edge trunk terminated over EE networks. Failovers route over Vodafone, O2, Three with active latency policing loops.","Remote regional support and carrier network coverage for Southampton, United Kingdom","925795","870247","883208","954 females per 1,000 males","51.2","48.8","£57,125 per annum","1175759","94","95.4","474007","451788"
"northern-ireland-belfast","Belfast","Northern Ireland","northern-ireland","belfast","United Kingdom","BT1","GBP","£","Ofcom Guidelines","EE|Vodafone|O2|Three","city_center","+44 20","Europe/London","55.1278","0.8998","Belfast Old Town Fort Gate Road","Primary edge trunk terminated over EE networks. Failovers route over Vodafone, O2, Three with active latency policing loops.","Remote regional support and carrier network coverage for Belfast, United Kingdom","942746","913520","849414","968 females per 1,000 males","50.8","49.2","£41,457 per annum","1169005","96.9","90.1","478915","463831"
"wales-cardiff","Cardiff","Wales","wales","cardiff","United Kingdom","CF10","GBP","£","Ofcom Guidelines","EE|Vodafone|O2|Three","city_center","+44 20","Europe/London","54.0399","-3.7935","Cardiff Civil Station Complex","Primary edge trunk terminated over EE networks. Failovers route over Vodafone, O2, Three with active latency policing loops.","Remote regional support and carrier network coverage for Cardiff, United Kingdom","3827884","3628834","3487202","966 females per 1,000 males","50.9","49.1","£54,256 per annum","5359037","94.8","91.1","1948393","1879491"
"pays-de-la-loire-nantes","Nantes","Pays de la Loire","pays-de-la-loire","nantes","France","44000","EUR","€","GDPR / ARCEP","Orange|SFR|Bouygues|Free Mobile","city_center","+33 1","Europe/Paris","8.6586","99.4823","Nantes Metropolitan IT Corridor","Primary edge trunk terminated over Orange networks. Failovers route over SFR, Bouygues, Free Mobile with active latency policing loops.","Remote regional support and carrier network coverage for Nantes, France","1226270","1141657","1135526","1,001 females per 1,000 males","50","50","€40,212 per annum","1704515","93.1","92.6","613135","613135"
"brittany-rennes","Rennes","Brittany","brittany","rennes","France","35000","EUR","€","GDPR / ARCEP","Orange|SFR|Bouygues|Free Mobile","city_center","+33 1","Europe/Paris","-17.5504","20.5255","Rennes GPO Circle Square","Primary edge trunk terminated over Orange networks. Failovers route over SFR, Bouygues, Free Mobile with active latency policing loops.","Remote regional support and carrier network coverage for Rennes, France","900641","842099","805173","1,005 females per 1,000 males","49.9","50.1","€52,378 per annum","1233878","93.5","89.4","449420","451221"
"occitanie-montpellier","Montpellier","Occitanie","occitanie","montpellier","France","34000","EUR","€","GDPR / ARCEP","Orange|SFR|Bouygues|Free Mobile","city_center","+33 1","Europe/Paris","-1.6028","8.6589","Montpellier State Highway Crossing Terminal","Primary edge trunk terminated over Orange networks. Failovers route over SFR, Bouygues, Free Mobile with active latency policing loops.","Remote regional support and carrier network coverage for Montpellier, France","1726178","1593262","1622607","1,008 females per 1,000 males","49.8","50.2","€62,897 per annum","2416649","92.3","94","859637","866541"
"auvergne-rhone-alpes-grenoble","Grenoble","Auvergne-Rhône-Alpes","auvergne-rhone-alpes","grenoble","France","38000","EUR","€","GDPR / ARCEP","Orange|SFR|Bouygues|Free Mobile","city_center","+33 1","Europe/Paris","11.857","-22.1435","Grenoble Metropolitan IT Corridor","Primary edge trunk terminated over Orange networks. Failovers route over SFR, Bouygues, Free Mobile with active latency policing loops.","Remote regional support and carrier network coverage for Grenoble, France","1028662","986486","948426","968 females per 1,000 males","50.8","49.2","€55,241 per annum","1388693","95.9","92.2","522560","506102"
